,Country,ISO3,ISO2,ADMIN2_NAME,ADMIN2_CODE,Longitude,Latitude,Year,HK_examined,HK_positive,HK_prevalence,Asc_examined,Asc_positive,Asc_prevalence,TT_examined,TT_positive,TT_prevalence,STH_examined,STH_positive,STH_prevalence,Cum_Prevalence
260,Botswana,BWA,BW,Boteti,4291,26.0213,-21.21106333,2015,20,0,0,20,0,0,20,0,0,20,0,0,0
261,Botswana,BWA,BW,Bobirwa,4290,28.87297667,-22.17904833,2015,42,0,0,42,0,0,42,0,0,42,0,0,0
262,Botswana,BWA,BW,Boteti,4291,24.13166333,-20.21789,2015,44,0,0,44,1,0.022727273,44,0,0,44,1,0.022727273,0.022727273
263,Botswana,BWA,BW,Selebi Phikwe,4293,27.83439833,-21.982445,2015,29,1,0.034482759,29,12,0.413793103,29,0,0,29,13,0.448275862,0.409440693
264,Botswana,BWA,BW,Gantsi,4296,20.2885819,-23.1379576,2015,50,1,0.02,50,2,0.04,50,0,0,50,3,0.06,0.055849057
265,Botswana,BWA,BW,Lobatse,4308,25.6790852,-25.2117188,2015,49,4,0.081632653,49,0,0,49,0,0,49,4,0.081632653,0.081632653
266,Botswana,BWA,BW,Serowe Palapye,4294,26.7467409,-22.4201558,2015,50,0,0,50,19,0.38,50,0,0,50,19,0.38,0.38
267,Botswana,BWA,BW,Okavango,4306,22.1963519,-19.6759132,2015,50,1,0.02,50,14,0.28,50,0,0,50,14,0.28,0.277735849
268,Botswana,BWA,BW,Kanye/Moshupa,4312,25.4497891,-24.9280845,2015,48,0,0,48,0,0,48,0,0,48,0,0,0
269,Botswana,BWA,BW,Okavango,4306,21.3028793,-18.9732815,2015,51,28,0.549019608,51,2,0.039215686,51,1,0.019607843,51,30,0.588235294,0.542642539
270,Botswana,BWA,BW,Kgatleng,4299,26.86384,-24.18802333,2015,43,0,0,43,7,0.162790698,43,0,0,43,7,0.162790698,0.162790698
271,Botswana,BWA,BW,Kgalagadi South,4298,22.5602615,-25.7826757,2015,50,0,0,50,0,0,50,0,0,50,0,0,0
272,Botswana,BWA,BW,Kgatleng,4299,26.024051,-24.5682473,2015,51,0,0,51,5,0.098039216,51,0,0,51,5,0.098039216,0.098039216
273,Botswana,BWA,BW,South East,4309,25.7481993,-25.0369685,2015,42,0,0,42,0,0,42,0,0,42,0,0,0
